Penalty Year,Agency Short,Action Type,Agency,Level of Government,Penalty Amount Adjusted For Eliminating Multiple Counting,Parent Short,Case ID,Civil/Criminal,Company,Court,Current Parent Company,Current Parent HQ Country,Current Parent HQ State,Current Parent ISIN,Current Parent Major Industry,Current Parent Ownership Structure,Current Parent Specific Industry,Current Parent Stock Ticker,Description,Facility Address,Facility City,Facility County,Facility Name,Facility State,Facility Zip,Info Source,Lawsuit Resolution,NAICS Code,NAICS Translation,Notes,Offense Group,Original System ID,PACER Link,Parent at the Time of the Penalty Announcement,Penalty Amount,Penalty Amount Adjusted For Eliminating Multiple Counting (Primary Offense),Penalty Date,Primary Offense,Private Litigation Case Title,Prosecution Agreement,Recap of Ownership Changes,Secondary Offense,Subtraction From Penalty Amount to Avoid Double Counting
2000,Other Federal,agency action,Equal Employment Opportunity Commission,federal,1000000,Macquarie,,civil,Cincinnati Bell Telephone and Cincinnati Bell Information Systems,,Macquarie,Australia,,AU000000MQG1,financial services,publicly traded,financial services,MIC,,,,,,Ohio,,https://www.eeoc.gov/eeoc/newsroom/release/archive/6-15-00-a.html,,,,,employment-related offenses,,,Cincinnati Bell,1000000,758892309,6/15/2000,employment discrimination,,,Macquarie bought Cincinnati Bell in 2021,pregnancy discrimination,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,12941191,RBC,,civil,Dain Rauscher Incorporated,,Royal Bank of Canada,Canada,,CA7800871021,financial services,publicly traded,banking,NYSE: RY,Dain Rauscher Incorporated agreed to pay nearly $13 million to settle allegations arising out of the SEC's investigation into the practice in municipal bond transactions known as yield burning.,,,,,,,https://www.sec.gov/litigation/litreleases/lr16505.htm,,,,,financial offenses,,,Dain Rauscher Incorporated,12941191,80991516314,4/6/2000,investor protection violation,,,Royal Bank of Canada acquired Dain Rauscher in 2001,securities issuance or trading violation,0
2000,Other Federal,agency action,Office of Federal Contract Compliance Programs,federal,440000,5th/3rd,,civil,Fifth Third Bank,,Fifth Third Bancorp,USA,Ohio,US3167731005,financial services,publicly traded,banking,FITB,"Fifth Third Bank agreed to  pay $440,000 to resolve allegations of race and gender discrimination at its Cincinnati headquarters as part of an agreement with the U.S. Labor Department. The agreement, with the department's Office of Federal Contract Compliance Programs, provided back pay for 75 minority applicants for entry-level clerical and teller positions and 26 women professionals and managers who were paid less than their male counterparts.",,Cincinnati,,,Ohio,,https://web.archive.org/web/20170613112747/https://www.dol.gov/opa/media/press/opa/archive/opa2000070.htm,,,,,employment-related offenses,,,Fifth Third Bancorp,440000,758892309,3/8/2000,employment discrimination,,,,racial discrimination,0
2000,Other Federal,agency action,National Labor Relations Board,federal,9116,Wells,04-CA-27834-001,civil,First Union Bank,,Wells Fargo,USA,California,US9497461015,financial services,publicly traded,banking,WFC,back pay award in unfair labor practices case,,Philadelphia,,,Pennsylvania,19106,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,521110,521110: Monetary Authorities - Central Bank,,employment-related offenses,,,First Union,9116,1234941,1/5/2000,labor relations violation,,,"In 2001 First Union merged with Wachovia, which was acquired by Wells Fargo in 2008",,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,5200000,GS,,civil,"Goldman, Sachs & Co.",,Goldman Sachs,USA,New York,US38141G1040,financial services,publicly traded,banking & securities,NYSE: GS,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Goldman Sachs,5200000,80991516314,4/6/2000,investor protection violation,,,,securities issuance or trading violation,0
2000,Other Federal,agency action,Equal Employment Opportunity Commission,federal,330000,Oppenheimer Holdings,,civil,Josephthal & Co.,,Oppenheimer Holdings,USA,New York,US6837971042,financial services,publicly traded,financial services,OPY,multiple forms of discrimination,,,,,District of Columbia,,https://www.eeoc.gov/eeoc/newsroom/release/archive/8-29-00.html,,,,,employment-related offenses,,,Josephthal & Co.,330000,758892309,8/29/2000,employment discrimination,,,"In 2001 Josephthal was acquired by Fahnestock Viner, the predecessor of Oppenheimer",,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,5000000,BofA,,civil,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Merrill Lynch,5000000,80991516314,4/6/2000,investor protection violation,,,Bank of America acquired Merrill Lynch in 2009,securities issuance or trading violation,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,2500000,MS,,civil,Morgan Stanley & Co. Incorporated,,Morgan Stanley,USA,New York,US6174464486,financial services,publicly traded,financial services,MS,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Morgan Stanley,2500000,80991516314,4/6/2000,investor protection violation,,,,securities issuance or trading violation,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,26200000,UBS,,civil,PaineWebber Incorporated,,UBS,Switzerland,,CH0244767585,financial services,publicly traded,banking & securities,NYSE: UBS,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Paine Webber,26200000,80991516314,4/6/2000,investor protection violation,,,UBS bought Paine Webber later in 2000,securities issuance or trading violation,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,5880000,Wells,,civil,Prudential Securities Incorporated,,Wells Fargo,USA,California,US9497461015,financial services,publicly traded,banking,WFC,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Prudential Financial,5880000,80991516314,4/6/2000,investor protection violation,,,"In 2003 Prudential Securities was acquired by Wachovia, which was acquired by Wells Fargo in 2008.",securities issuance or trading violation,0
